Month,Soybean Oil Price (US Dollars per Metric Ton),Coconut Oil Price (US Dollars per Metric Ton),"Olive Oil, extra virgin Price (US Dollars per Metric Ton)",Sunflower oil Price (US Dollars per Metric Ton),Rapeseed Oil Price (US Dollars per Metric Ton),Crude Oil (petroleum) Price (US Dollars per Barrel),Exchange Rate,Palm oil Price (US Dollars per Metric Ton)
Mar-88,396,516,2349.83,427.68,424.908,14.78,,381
Apr-88,409,509,2381.62,441.72,438.857,16.47,,403
May-88,437,533,2354.63,471.96,468.901,16.22,,422
Jun-88,544,614,2285.43,587.52,583.712,15.33,,496
Jul-88,600,666,2172.18,648,643.8,14.48,,517
Aug-88,534,576,2119.9,576.72,572.982,14.55,,450
Sep-88,478,567,2162.39,516.24,512.894,13.1,,428
Oct-88,449,564,2207.66,484.92,481.777,12.18,,431
Nov-88,431,570,2393.68,465.48,462.463,12.53,,418
Dec-88,444,567,2525.53,479.52,476.412,14.65,,411
Jan-89,423,537,2462.14,456.84,453.879,16.48,,383
Feb-89,412,538,2445.33,444.96,442.076,16.35,,401
Mar-89,437,545,2424.27,471.96,468.901,18.03,,399
Apr-89,440,549,2421.48,475.2,472.12,19.2,,391
May-89,460,589,2328.63,496.8,493.58,18.02,,406
Jun-89,464,559,2269,501.12,497.872,17.63,,373
Jul-89,447,540,2399.15,482.76,479.631,17.67,,331
Aug-89,404,481,2368.74,436.32,433.492,16.88,,309
Sep-89,410,503,2351.4,442.8,439.93,17.67,,323
Oct-89,419,480,2421.26,452.52,449.587,18.42,,321
Nov-89,433,456,2577.83,467.64,464.609,18.37,,301
Dec-89,429,425,2843.95,463.32,460.317,19.35,,267
Jan-90,417,433,2972.68,450.36,447.441,20.35,2.704095,279
Feb-90,428,393,3052.71,462.24,459.244,19.6,2.703158,271
Mar-90,442,372,2925.14,477.36,474.266,18.22,2.716955,286
Apr-90,440,343,2945.97,475.2,472.12,16.55,2.726357,267
May-90,449,353,3021.1,484.92,481.777,16.58,2.702445,281
Jun-90,435,317,3074.49,469.8,466.755,15.27,2.710395,272
Jul-90,437,297,3252.2,471.96,468.901,17.17,2.705143,279
Aug-90,460,294,3416.71,496.8,493.58,26.4,2.695622,291
Sep-90,461,284,3383.62,497.88,494.653,32.7,2.695947,284
Oct-90,468,284,3501.09,505.44,502.164,34.5,2.699545,290
Nov-90,455,343,3535.09,491.4,488.215,31.08,2.6949,331
Dec-90,476,325,3469,514.08,510.748,26.13,2.70304,346
Jan-91,455,340,3480.7,491.4,488.215,22.58,2.713957,349
Feb-91,445,330,3538.31,480.6,477.485,18.13,2.696895,338
Mar-91,453,343,3295.73,489.24,486.069,18.07,2.741757,348
Apr-91,460,323,3149.82,496.8,493.58,18.47,2.749841,319
May-91,444,335,3107.34,479.52,476.412,18.82,2.757259,318
Jun-91,440,369,2965.84,475.2,472.12,17.93,2.781015,311
Jul-91,431,465,2966.35,465.48,462.463,19.05,2.786795,341
Aug-91,457,459,3030.12,493.56,490.361,19.37,2.780614,338
Sep-91,468,455,3102.61,505.44,502.164,20.05,2.75769,323
Oct-91,485,546,3100.45,523.8,520.405,21.47,2.746936,345
Nov-91,466,595,3199.41,503.28,500.018,20.77,2.741226,362
Dec-91,442,636,3281.67,477.36,474.266,17.75,2.741729,376
Jan-92,429,738,3261.65,463.32,460.317,17.38,2.689119,383
Feb-92,414,702,3198.4,447.12,444.222,17.62,2.601237,382
Mar-92,434,644,3104.06,468.72,465.682,17.45,2.577886,396
Apr-92,425,647,3161.99,459,456.025,18.63,2.552119,402
May-92,439,638,3259.13,474.12,471.047,19.5,2.522295,390
Jun-92,456,589,3335.56,492.48,489.288,20.83,2.518655,404
Jul-92,429,528,3454.2,463.32,460.317,20.17,2.499874,382
Aug-92,409,494,3490.25,441.72,438.857,19.62,2.497748,382
Sep-92,421,501,3342.78,454.68,451.733,20.15,2.502857,391
Oct-92,418,493,2986.24,451.44,448.514,20.08,2.504443,396
Nov-92,437,496,2747.9,471.96,468.901,18.88,2.522684,413
Dec-92,436,461,2793.15,470.88,467.828,17.93,2.571032,401
Jan-93,444,444,2757.83,479.52,476.412,17.22,2.598495,410
Feb-93,433,439,2587.66,467.64,464.609,18.17,2.629474,425
Mar-93,438,427,2628.83,473.04,469.974,18.47,2.605109,408
Apr-93,448,402,2783.9,483.84,480.704,18.43,2.577741,392
May-93,448,418,2787.13,483.84,480.704,18.17,2.566135,371
Jun-93,461,436,2721.53,497.88,494.653,17.47,2.569591,356
Jul-93,505,460,2694.24,545.4,541.865,16.32,2.56721,362
Aug-93,483,455,2685.46,521.64,518.259,16.48,2.551423,356
Sep-93,489,424,2743.6,528.12,524.697,15.9,2.547467,352
Oct-93,491,419,2706.44,530.28,526.843,16.52,2.547795,333
Nov-93,536,464,2665.22,578.88,575.128,15.2,2.55476,357
Dec-93,589,615,2681.78,636.12,631.997,13.77,2.573687,411
Jan-94,602,595,2686.82,650.16,645.946,14.13,2.71604,404
Feb-94,577,573,2661.5,623.16,619.121,13.78,2.762437,387
Mar-94,586,539,2683.4,632.88,628.778,13.62,2.717074,395
Apr-94,584,560,2668.77,630.72,626.632,15.08,2.688705,434
May-94,594,599,2705.24,641.52,637.362,16.28,2.616905,488
Jun-94,571,608,2744.46,616.68,612.683,17.17,2.59415,508
Jul-94,560,579,3553.91,604.8,600.88,17.88,2.594815,494
Aug-94,600,596,3548.05,648,643.8,17,2.56327,575
Sep-94,672,622,3596.26,725.76,721.056,16.2,2.557457,614
Oct-94,642,621,3694.03,693.36,688.866,16.47,2.558925,616
Nov-94,706,706,3656.24,762.48,757.538,17.08,2.560375,707
Dec-94,693,692,3587.45,748.44,743.589,15.94,2.5626,719
Jan-95,674,622,3622.27,727.92,723.202,16.9,2.555615,655
Feb-95,663,636,3772.18,716.04,711.399,17.42,2.552574,661
Mar-95,652,632,4161.09,704.16,699.596,17.35,2.546439,687
Apr-95,610,619,4503.83,658.8,654.53,18.65,2.47865,625
May-95,595,616,4446.18,642.6,638.435,18.42,2.468386,611
Jun-95,611,668,4465.47,659.88,655.603,17.36,2.439559,631
Jul-95,626,693,4624.57,676.08,671.698,16.08,2.44997,655
Aug-95,616,686,4591.11,665.28,660.968,16.47,2.481335,616
